index,Team,Final Point Difference,Location
0,Arsenal,16.0,London
1,Fulham,46.0,London
2,Newcastle,48.0,Northumberland
3,QPR,64.0,London
4,Reading,61.0,Berkshire
5,West Brom,40.0,West Midlands
6,West Ham,43.0,London
7,Man City,11.0,Greater Manchester
8,Wigan,53.0,Greater Manchester
9,Everton,26.0,Merseyside
10,Chelsea,14.0,London
11,Aston Villa,48.0,Birmingham
13,Norwich,45.0,East Angalia
14,Southampton,48.0,Isle of Wight
15,Swansea,43.0,Swansea
16,Tottenham,17.0,London
17,Liverpool,28.0,Merseyside
18,Stoke,47.0,Shropshire
19,Sunderland,50.0,Northumberland
