Date,Chelsea_Points,Man United_Points,Arsenal_Points,Man City_Points
2009-08-15,0.0,0.0,0.0,0.0
2009-08-15,0.0,0.0,0.0,3.0
2009-08-15,0.0,0.0,0.0,3.0
2009-08-15,3.0,0.0,0.0,3.0
2009-08-15,3.0,0.0,3.0,3.0
2009-08-15,3.0,0.0,3.0,3.0
2009-08-15,3.0,0.0,3.0,3.0
2009-08-15,3.0,0.0,3.0,3.0
2009-08-16,3.0,3.0,3.0,3.0
2009-08-16,3.0,3.0,3.0,3.0
2009-08-18,6.0,3.0,3.0,3.0
2009-08-18,6.0,3.0,3.0,3.0
2009-08-19,6.0,3.0,3.0,3.0
2009-08-19,6.0,0.0,3.0,3.0
2009-08-19,6.0,0.0,3.0,3.0
2009-08-19,6.0,0.0,3.0,3.0
2009-08-22,6.0,0.0,6.0,3.0
2009-08-22,6.0,0.0,6.0,3.0
2009-08-22,6.0,0.0,6.0,3.0
2009-08-22,6.0,0.0,6.0,6.0
2009-08-22,6.0,0.0,6.0,6.0
2009-08-22,6.0,3.0,6.0,6.0
2009-08-23,6.0,3.0,6.0,6.0
2009-08-23,9.0,3.0,6.0,6.0
2009-08-23,9.0,3.0,6.0,6.0
2009-08-24,9.0,3.0,6.0,6.0
2009-08-29,9.0,3.0,6.0,6.0
2009-08-29,9.0,3.0,6.0,6.0
2009-08-29,12.0,3.0,6.0,6.0
2009-08-29,12.0,6.0,3.0,6.0
2009-08-29,12.0,6.0,3.0,6.0
2009-08-29,12.0,6.0,3.0,6.0
2009-08-29,12.0,6.0,3.0,6.0
2009-08-30,12.0,6.0,3.0,6.0
2009-08-30,12.0,6.0,3.0,6.0
2009-08-30,12.0,6.0,3.0,9.0
2009-09-12,12.0,6.0,3.0,9.0
2009-09-12,12.0,6.0,3.0,9.0
2009-09-12,12.0,6.0,0.0,12.0
2009-09-12,12.0,6.0,0.0,12.0
2009-09-12,15.0,6.0,0.0,12.0
2009-09-12,15.0,6.0,0.0,12.0
2009-09-12,15.0,9.0,0.0,12.0
2009-09-12,15.0,9.0,0.0,12.0
2009-09-13,15.0,9.0,0.0,12.0
2009-09-13,15.0,9.0,0.0,12.0
2009-09-19,15.0,9.0,3.0,12.0
2009-09-19,15.0,9.0,3.0,12.0
2009-09-19,15.0,9.0,3.0,12.0
2009-09-19,15.0,9.0,3.0,12.0
2009-09-19,15.0,9.0,3.0,12.0
2009-09-19,15.0,9.0,3.0,12.0
2009-09-20,18.0,9.0,3.0,12.0
2009-09-20,18.0,9.0,3.0,12.0
2009-09-20,18.0,12.0,3.0,9.0
2009-09-20,18.0,12.0,3.0,9.0
2009-09-26,18.0,12.0,3.0,9.0
2009-09-26,18.0,12.0,3.0,9.0
2009-09-26,18.0,12.0,6.0,9.0
2009-09-26,18.0,12.0,6.0,9.0
2009-09-26,18.0,12.0,6.0,9.0
2009-09-26,18.0,15.0,6.0,9.0
2009-09-26,18.0,15.0,6.0,9.0
2009-09-26,15.0,15.0,6.0,9.0
2009-09-27,15.0,15.0,6.0,9.0
2009-09-28,15.0,15.0,6.0,12.0
2009-10-03,15.0,15.0,6.0,12.0
2009-10-03,15.0,15.0,6.0,12.0
2009-10-03,15.0,15.0,6.0,12.0
2009-10-03,15.0,16.0,6.0,12.0
2009-10-03,15.0,16.0,6.0,12.0
2009-10-04,15.0,16.0,9.0,12.0
2009-10-04,18.0,16.0,9.0,12.0
2009-10-04,18.0,16.0,9.0,12.0
2009-10-04,18.0,16.0,9.0,12.0
2009-10-05,18.0,16.0,9.0,13.0
2009-10-17,18.0,16.0,12.0,13.0
2009-10-17,15.0,16.0,12.0,13.0
2009-10-17,15.0,16.0,12.0,13.0
2009-10-17,15.0,19.0,12.0,13.0
2009-10-17,15.0,19.0,12.0,13.0
2009-10-17,15.0,19.0,12.0,13.0
