Chelsea_Points,Man United_Points,Arsenal_Points,Man City_Points
0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0
0.0,0.0,0.0,3.0
3.0,0.0,0.0,3.0
3.0,0.0,3.0,3.0
3.0,0.0,3.0,3.0
3.0,0.0,3.0,3.0
3.0,0.0,3.0,3.0
3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0
6.0,3.0,3.0,3.0
6.0,3.0,3.0,3.0
6.0,3.0,3.0,3.0
6.0,0.0,3.0,3.0
6.0,0.0,3.0,3.0
6.0,0.0,3.0,3.0
6.0,0.0,6.0,3.0
6.0,0.0,6.0,3.0
6.0,0.0,6.0,3.0
6.0,0.0,6.0,6.0
6.0,0.0,6.0,6.0
6.0,3.0,6.0,6.0
6.0,3.0,6.0,6.0
9.0,3.0,6.0,6.0
9.0,3.0,6.0,6.0
9.0,3.0,6.0,6.0
9.0,3.0,6.0,6.0
9.0,3.0,6.0,6.0
12.0,3.0,6.0,6.0
12.0,6.0,3.0,6.0
12.0,6.0,3.0,6.0
12.0,6.0,3.0,6.0
12.0,6.0,3.0,6.0
12.0,6.0,3.0,6.0
12.0,6.0,3.0,6.0
12.0,6.0,3.0,9.0
12.0,6.0,3.0,9.0
12.0,6.0,3.0,9.0
12.0,6.0,0.0,12.0
12.0,6.0,0.0,12.0
15.0,6.0,0.0,12.0
15.0,6.0,0.0,12.0
15.0,9.0,0.0,12.0
15.0,9.0,0.0,12.0
15.0,9.0,0.0,12.0
15.0,9.0,0.0,12.0
15.0,9.0,3.0,12.0
15.0,9.0,3.0,12.0
15.0,9.0,3.0,12.0
15.0,9.0,3.0,12.0
15.0,9.0,3.0,12.0
15.0,9.0,3.0,12.0
18.0,9.0,3.0,12.0
18.0,9.0,3.0,12.0
18.0,12.0,3.0,9.0
18.0,12.0,3.0,9.0
18.0,12.0,3.0,9.0
18.0,12.0,3.0,9.0
18.0,12.0,6.0,9.0
18.0,12.0,6.0,9.0
18.0,12.0,6.0,9.0
18.0,15.0,6.0,9.0
18.0,15.0,6.0,9.0
15.0,15.0,6.0,9.0
15.0,15.0,6.0,9.0
15.0,15.0,6.0,12.0
15.0,15.0,6.0,12.0
15.0,15.0,6.0,12.0
15.0,15.0,6.0,12.0
15.0,16.0,6.0,12.0
15.0,16.0,6.0,12.0
15.0,16.0,9.0,12.0
18.0,16.0,9.0,12.0
18.0,16.0,9.0,12.0
18.0,16.0,9.0,12.0
18.0,16.0,9.0,13.0
18.0,16.0,12.0,13.0
15.0,16.0,12.0,13.0
15.0,16.0,12.0,13.0
15.0,19.0,12.0,13.0
15.0,19.0,12.0,13.0
15.0,19.0,12.0,13.0
15.0,19.0,12.0,13.0
15.0,19.0,12.0,13.0
15.0,19.0,12.0,14.0
15.0,19.0,12.0,14.0
15.0,19.0,12.0,14.0
15.0,19.0,12.0,14.0
18.0,19.0,12.0,14.0
18.0,19.0,12.0,14.0
18.0,19.0,12.0,14.0
18.0,19.0,12.0,14.0
18.0,19.0,12.0,14.0
18.0,16.0,12.0,14.0
18.0,16.0,12.0,15.0
18.0,16.0,13.0,15.0
18.0,16.0,16.0,15.0
21.0,16.0,16.0,15.0
21.0,16.0,16.0,15.0
21.0,16.0,16.0,15.0
21.0,16.0,16.0,15.0
21.0,19.0,16.0,15.0
21.0,19.0,16.0,15.0
21.0,19.0,16.0,15.0
21.0,19.0,16.0,15.0
21.0,19.0,16.0,16.0
21.0,19.0,16.0,16.0
21.0,19.0,16.0,16.0
21.0,19.0,16.0,16.0
21.0,19.0,16.0,17.0
21.0,19.0,16.0,17.0
21.0,19.0,19.0,17.0
24.0,16.0,19.0,17.0
24.0,16.0,19.0,17.0
24.0,16.0,19.0,17.0
24.0,16.0,19.0,17.0
24.0,16.0,19.0,17.0
24.0,16.0,19.0,17.0
24.0,16.0,19.0,17.0
27.0,16.0,19.0,17.0
27.0,16.0,19.0,17.0
27.0,16.0,19.0,18.0
27.0,19.0,19.0,18.0
27.0,19.0,16.0,18.0
27.0,19.0,16.0,18.0
27.0,19.0,16.0,18.0
